UpperLimits,MGSDUpperLimits
1.6001479625701904,10.720991349220276
1.5433101654052734,10.340178108215332
1.4821593761444092,9.930467820167541
1.418232500553131,9.502157753705978
1.3532298803329468,9.066640198230743
1.2890177071094513,8.636418637633325
1.2273151874542236,8.223011755943299
1.1696241796016693,7.836482003331184
1.1169577538967133,7.483616951107979
1.069912165403366,7.168411508202553
1.028713345527649,6.892379415035248
0.9933271408081055,6.6552918434143065
0.9635605216026306,6.455855494737626
0.9391483962535858,6.2922942548990255
0.9198605418205261,6.163065630197525
0.9054151475429535,6.066281488537789
0.8955966532230377,6.000497576594353
0.8901578485965729,5.964057585597039
0.889038473367691,5.9565577715635305
0.8919048607349396,5.975762566924096
0.8985550403594971,6.020318770408631
0.9087048768997192,6.088322675228119
0.9221788644790649,6.178598392009735
0.938532829284668,6.288169956207276
0.0,0.0
0.0,0.0
0.9053095579147339,6.065574038028717
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.020083010196686,13.534556168317796
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.5812260508537292,15.983553118311569
1.5246371626853943,15.313779584130993
1.4640114605426788,14.613409030706574
1.4008838832378387,13.898127877837307
1.336931973695755,13.184625258641475
1.2739726603031158,12.49054590804459
1.2136604189872742,11.831536696538537
1.1574213802814484,11.220682156431394
1.1062012910842896,10.66616194870043
1.0605408847332,10.172119713564848
1.020627200603485,9.739268196747911
0.9863998889923096,9.365991682841736
0.957650899887085,9.049347845252445
0.9341063797473907,8.785869683714699
0.9155358374118805,8.572598276698933
0.9016546010971069,8.40616017752453
0.8922483623027802,8.283930496948681
0.8870734870433807,8.203093366571236
0.8860694468021393,8.16260057280138
0.8889082074165344,8.159000887644963
0.659159705042839,6.029311317132814
0.8177569806575775,7.455506464621899
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.610612154006958,16.2759087375153
1.558926522731781,15.651984374344913
1.502596914768219,14.99096747332901
1.4425775706768036,14.302928247811895
1.3803955614566803,13.603305662832366
1.317695528268814,12.90829565489149
1.256230741739273,12.234755915302324
1.1975737810134888,11.597401489425199
1.143060028553009,11.008338284592577
1.0935545861721039,10.474918339191728
1.0495316684246063,10.000636822747921
1.011134147644043,9.585805988189046
0.9782706499099731,9.22855680050865
0.9507173895835876,8.925850414426096
0.9281899631023407,8.674176473196049
0.9104587733745575,8.470636015101151
0.8972361981868744,8.311880675337697
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.045201063156128,9.501815713377692
1.0563060343265533,9.571804863799178
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.6317554712295532,16.43868559568445
1.584794819355011,15.860961092670241
1.5329630970954895,15.243546235805528
1.47689688205719,14.59341885490117
1.4175733923912048,13.920697872508756
1.3565009236335754,13.24041127211709
1.2952786087989807,12.568087231912044
1.2355782687664032,11.919578572992803
1.178871899843216,11.30845554762716
1.1263850927352905,10.745642119879829
1.078887552022934,10.237515870783582
1.036777138710022,9.78683452317268
1.0001447796821594,9.393447298660039
0.7237354964017868,6.764185966821748
0.7041879147291183,6.550393121357154
0.688238114118576,6.37281918724432
0.9487102031707764,8.74606723446661
0.9356372058391571,8.589080862940854
0.0,0.0
0.0,0.0
0.0,0.0
1.2223103642463684,11.051525635361443
1.2306856513023376,11.09008389122588
1.24322971701622,11.16778380540974
1.2596898078918457,11.28208112612817
1.4560468196868896,13.004511626603946
1.561892330646515,13.913840500277091
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.455699861049652,21.544550588821778
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.645667552947998,16.52914246382716
1.6026529669761658,15.989949267552475
1.5550140738487244,15.413248116950038
1.5029670596122742,14.80184130237749
1.4471904337406158,14.162956188318308
1.3886808156967163,13.506706624630976
1.328919142484665,12.847617647004686
1.269441157579422,12.200376106661349
1.2118156850337982,11.579632496818494
0.8645638525485992,8.215144323003985
0.8271209299564362,7.816472449470562
0.7933805286884308,7.457824271144735
0.7635743916034698,7.140643175237534
0.0,0.0
1.1206395328044891,10.37690641631317
1.091884285211563,10.063336019984241
1.0684778988361359,9.803167161891848
1.150575578212738,10.51053910198138
1.135701209306717,10.331365285313884
0.0,0.0
0.0,0.0
0.0,0.0
1.2157311737537384,10.895331778366664
1.223716825246811,10.931025789490258
1.4819556176662445,13.196979192742942
1.500504970550537,13.323535695843898
1.6738441586494446,14.822593974807113
1.701757550239563,15.032092497642147
1.732720971107483,15.270361179881892
1.8406648635864258,16.187566455086777
1.878953754901886,16.492904744592938
1.9206499457359314,16.830316782272757
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.297472059726715,20.01562752846654
2.3001371026039124,20.034183801544867
2.3976742029190063,20.883292896903118
2.5022939443588257,21.79866738181606
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.0383341312408447,26.577526339526475
3.1277453899383545,27.39934986295862
1.6143831610679626,16.05847243222474
1.5699976086616516,15.513265289504254
1.5214782357215881,14.93585979610354
1.0974192023277283,10.704152172879345
1.0559766590595245,10.235418697840652
1.012961894273758,9.758289356968204
0.96944859623909,9.283115709509804
0.9265217185020447,8.82009947467844
0.8852581679821014,8.37912451397443
0.8465570211410522,7.968179015911232
0.811124324798584,7.593276728742025
0.7793574035167694,7.257442508325172
1.1765289902687073,10.899895687740916
1.138733446598053,10.497445248940872
0.0,0.0
0.0,0.0
0.0,0.0
1.2349840700626373,11.179159837474524
1.2201963365077972,10.999825361857289
1.2103840112686157,10.8683823960249
1.205244094133377,10.781547771007066
1.2046907544136047,10.738065122450944
1.449268877506256,12.874341134381888
1.6030613780021667,14.194961689881719
1.6176599264144897,14.28114152688205
1.6365728974342346,14.4074584662723
1.659068763256073,14.567280791101021
1.6846691966056824,14.756303467140347
1.7846941351890564,15.59779709673009
1.8168731331825256,15.847076622816749
1.8516558408737183,16.121270533300095
1.889547049999237,16.424843161179968
1.931337833404541,16.764747833725036
0.0,0.0
0.0,0.0
2.091608762741089,18.103172234307255
2.160665273666382,18.690666161251844
2.23897647857666,19.361661414345814
2.326774477958679,20.118521824044755
2.4235596656799316,20.957386278592367
2.4329615235328674,21.045205409971196
2.5388486981391907,21.97263031823854
2.6474136114120483,22.929093555902906
2.7555534839630127,23.8883443141856
2.8601719737052917,24.824089896372303
3.2056217193603516,27.86049555938285
3.302477717399597,28.747671583947486
3.388374924659729,29.548174360391783
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.0692839920520782,10.329700894739963
1.0280989408493042,9.86986122527768
0.0,0.0
0.0,0.0
0.9024707973003387,8.509635417473197
0.8632341921329498,8.09339747037441
1.2944672405719757,12.069300443154372
1.2425198256969452,11.522560072070858
1.1962271332740784,11.035225347763111
1.266225278377533,11.621687319558166
1.3292172253131866,12.139897626709043
1.2942765355110168,11.764640410797607
0.0,0.0
0.0,0.0
1.223653882741928,10.976200407357059
1.2102786004543304,10.812153648937208
0.0,0.0
1.4356377124786377,12.728462796834881
1.5777136087417603,13.939035533889818
1.5823127031326294,13.93326508818229
1.5915820598602295,13.97106272519889
1.60503351688385,14.047831543511684
1.622314989566803,14.160259436312913
1.6427187323570251,14.30201421284784
1.735565185546875,15.075127935183737
1.76194828748703,15.271734209664594
1.7906579375267029,15.49076453176112
