Intensities,MGSDIntensities
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.236708164215088,27.99989798322897
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1.8485370874404907,15.536045338243591
1.890283465385437,15.819108464237878
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.389219284057617,19.89720311373397
2.1537363529205322,17.860695096831485
0.0,0.0
0.0,0.0
0.0,0.0
2.068474292755127,17.069395318674978
1.9426112174987793,15.964362954669825
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.926654815673828,23.310770401820488
3.1870577335357666,25.450240999770443
2.7912063598632812,22.351719169019148
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.5584890842437744,28.18156529641503
4.181874752044678,33.20906294584096
4.171993732452393,33.22889062734561
4.030336380004883,32.20320042057257
3.985097885131836,31.95064481914095
3.715977907180786,29.901455146196483
2.8785042762756348,23.251906915113288
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.6685714721679688,20.73383250223369
3.147289514541626,24.482299194537685
2.9967527389526367,23.344806355435033
2.393726110458374,18.80103000395185
3.5934953689575195,28.299487457162844
4.377542972564697,34.573904234470305
4.694694995880127,37.19483318246088
4.918787479400635,39.101156075518915
5.105528831481934,40.731083071618315
5.220095157623291,41.80352846019549
4.240451335906982,34.09491986293888
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.179182767868042,24.53807620894144
4.178546905517578,32.29478213044554
4.445986747741699,34.416550047605064
3.6241185665130615,28.106239969938684
2.4638168811798096,19.147759929189252
3.136920690536499,24.568356191236735
3.7487244606018066,29.449919298100898
3.954035758972168,31.16521107840492
4.658361434936523,36.84602925941654
5.434931755065918,43.14962013858472
5.5777692794799805,44.45946897760076
4.544117450714111,36.372040337781776
5.7507829666137695,51.59095273989709
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2.963453769683838,22.724200607052747
4.828464508056641,37.080908130462106
6.054769992828369,46.58013522567553
5.563504695892334,42.88675543368381
4.136323928833008,31.957263222334443
2.9110536575317383,22.54721468291714
2.5399861335754395,19.7272974475195
2.6305999755859375,20.492218145841743
2.7235043048858643,21.284469789111956
3.0444157123565674,23.874830112068466
4.131435871124268,32.51906439876998
5.338863372802734,42.187495980464924
5.751517295837402,45.636312871281255
4.696794509887695,37.42967874328338
5.606351852416992,50.21708997394472
6.435936450958252,58.089340290297116
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.606630802154541,35.15629853469142
6.807162284851074,52.04976323673582
7.151408672332764,54.8009066006599
5.7510666847229,44.17711029049634
3.94757342338562,30.404627908077398
2.9733035564422607,22.96759719596172
2.6436493396759033,20.485736843291143
2.6194162368774414,20.366973983356495
3.0224461555480957,23.586081061915948
4.123473644256592,32.3023926235403
5.537109851837158,43.55378407172704
6.140308856964111,48.5064204824465
5.097421646118164,40.45001514385426
2.7970709800720215,22.30085184079246
6.356969356536865,57.30224368121839
8.149945259094238,74.04473020013836
6.840681076049805,62.64770414492029
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.988210439682007,30.249761295082706
6.728662967681885,51.142055481207095
7.835299968719482,59.69277613535033
6.662402629852295,50.88895812669694
4.543996334075928,34.80690563897696
3.060863971710205,23.518670827866924
2.6132659912109375,20.218425788564122
3.333982229232788,25.892669469311826
4.4782257080078125,34.91951560550338
5.580019474029541,43.6961714885937
5.858086585998535,46.079048096728265
4.819948196411133,38.091013027618075
2.7570011615753174,21.894735876870882
2.9703967571258545,24.390440824642777
2.9883642196655273,24.690457550124457
6.341473579406738,57.09606693777674
8.360092163085938,75.87485788451382
7.031182289123535,64.33292536168962
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.007347583770752,30.211506315650336
6.501759052276611,49.12763005845919
7.658658981323242,58.01483552223797
6.757829189300537,51.33282651344671
4.604401111602783,35.08094657160009
2.6933319568634033,20.587564143467713
2.617170810699463,20.150856089551063
3.6837832927703857,28.47612227824761
4.670355319976807,36.25439322358549
5.070957660675049,39.53857746326436
4.694596767425537,36.77425057453097
3.6302285194396973,28.574973377397704
3.6955173015594482,30.258542395457173
3.4422457218170166,28.364305408757755
6.624183654785156,59.58004630768613
7.7835164070129395,70.57770054573695
5.942324638366699,54.327209611193524
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
4.138922214508057,31.018663811454033
5.971758842468262,44.86350224335997
6.912425518035889,52.07014560489654
6.309638977050781,47.66953044320564
4.5088396072387695,34.17338357567933
2.8764381408691406,21.876201971756213
3.5013742446899414,26.832130274871297
4.850597381591797,37.32618279070145
5.408113956451416,41.79883401475411
4.8254618644714355,37.4673648042124
