#Galaxy,Supernova,Ra,Dec,xCoord,yCoord,Type,Intensity(12m+7m+tp),Err,EW,beamSize
circinus , "SN1996cr" , 213.29176388888888 , -65.34570462962962 , 86.56761411031889 , 84.63433198287285 , II , 186.84804 , 2.137819 , 34.56537 , 0.002032163908078
ngc0253 , "SN1940E" , 11.878291666666666 , -25.293444444444447 , 296.9010534051223 , 236.26662905273994 , I , 218.98796 , 1.4441332 , 45.862267 , 0.00232543637022
ngc0300 , "SN2019qyl" , 13.739875 , -37.644441666666665 , 124.97990204934794 , 202.45166439134732 , II , -0.5273654 , 0.45072383 , nan , 0.002271061982879
ngc0628 , "SN2013ej" , 24.200666666666667 , 15.758611111111112 , 333.46022572413716 , 356.77980642079694 , II , 0.9655536 , 1.4078557 , nan , 0.0003114595189268
ngc0628 , "SN2019krl" , 24.2067875 , 15.77946388888889 , 227.48504797816918 , 732.1448775793053 , II , 1.3992676 , 1.0197889 , nan , 0.0003114595189268
ngc1087 , "SN1995V" , 41.61152777777777 , -0.4987861111111111 , 161.4198245203906 , 287.6499560537321 , II , 11.794075 , 1.0422765 , 5.175495 , 0.0004451676280474
ngc1097 , "SN1999eu" , 41.58662291666667 , -30.318361111111113 , 245.2470996170838 , 7.223039949207134 , II , 0.0 , 0.7541714 , nan , 0.0004711325009833
ngc1097 , "SN1992bd" , 41.579177083333335 , -30.275555555555556 , 291.5099030167368 , 315.426803230518 , II , 296.06226 , 2.0188875 , 45.82589 , 0.0004711325009833
ngc1365 , "SN2012fr" , 53.40057916666666 , -36.12676944444445 , 390.2906744443858 , 389.8499395285312 , Ia , -2.3150725 , 1.1174963 , nan , 0.0003829740084505
ngc1365 , "SN2001du" , 53.3713125 , -36.142111111111106 , 673.9024849664049 , 205.70404673775522 , II , 3.0703216 , 1.3357118 , nan , 0.0003829740084505
ngc1365 , "SN1983V" , 53.381876388888884 , -36.14859166666667 , 571.5153905023813 , 127.96380165601636 , Ic , 5.781725 , 1.1458964 , 3.55028 , 0.0003829740084505
ngc1433 , "SN1985P" , 55.52640625 , -47.209987222222225 , 263.1913087181251 , 432.8497774993816 , II , 0.263965 , 0.58992827 , nan , 0.0003049153591757
ngc1511 , "SN1935C" , 59.937302083333336 , -67.6374375 , 112.46713980638378 , 194.45954575675466 , unclassified , 2.5883038 , 0.76610756 , nan , 0.0004017774799122
ngc1559 , "SN2009ib" , 64.4166875 , -62.77763888888889 , 299.57218832743223 , 427.403589217835 , II , 3.5123987 , 1.2494718 , 2.8059413 , 0.0003463939709418
ngc1559 , "SN2005df" , 64.40770833333333 , -62.76930833333333 , 348.8486348837993 , 527.3802225660572 , Ia , 0.0 , 0.43404207 , nan , 0.0003463939709418
ngc1559 , "SN1986L" , 64.37396916666667 , -62.78464944444445 , 534.0347426789208 , 343.2629591363379 , II , 1.4593294 , 1.2151972 , nan , 0.0003463939709418
ngc1559 , "SN1984J" , 64.39805208333334 , -62.78548611111111 , 401.8666980189084 , 333.24994708294645 , II , 14.340408 , 1.563591 , 4.6562567 , 0.0003463939709418
ngc1566 , "ASASSN-14ha" , 65.0058875 , -54.93807777777778 , 258.9038295074317 , 423.1062029210927 , II , 68.05383 , 1.8849889 , 12.188041 , 0.0003484111476313
ngc1566 , "SN2010el" , 64.99512499999999 , -54.94402777777778 , 333.0888088615794 , 351.7049348962778 , Ia , 15.126432 , 1.4931785 , 6.447685 , 0.0003484111476313
ngc1637 , "SN1999em" , 70.36285749999999 , -2.862636 , 366.390481532442 , 201.78455433264878 , II , 2.9875822 , 0.48953336 , 3.6040678 , 0.0003862486059138
ngc1672 , "SN2017gax" , 71.45607916666667 , -59.24512777777778 , 141.99209028039974 , 128.8067849585691 , Ib/c , 7.5910697 , 0.95719075 , 5.087848 , 0.0005367684873776
ngc2775 , "SN1993Z" , 137.58164027777775 , 7.0278350000000005 , 238.87645821251908 , 127.10339065992463 , Ia , 0.04420813 , 1.7344321 , nan , 0.0003033655107496
ngc2997 , "SN2003jg" , 146.40863888888887 , -31.18906574074074 , 585.4652091010014 , 576.33452414425 , Ic , 107.84368 , 1.0240551 , 12.296705 , 0.0004911204571882
ngc2997 , "SN2008eh" , 146.45066666666668 , -31.17913888888889 , 153.98999644262688 , 695.4058331767972 , unclassified , 15.87045 , 0.5928071 , 5.444655 , 0.0004911204571882
ngc3239 , "SN2012A" , 156.28079166666666 , 17.154055555555555 , 154.78836138615736 , 47.086512314478114 , II , 0.0 , 0.8119465 , nan , 0.0003561811832922
ngc3627 , "SN1989B" , 170.05796666666666 , 13.005307777777778 , 251.5371313808383 , 556.7930397399508 , Ia , 18.840698 , 1.5260814 , 11.721322 , 0.0004517319625788
ngc3627 , "SN1997bs" , 170.0592513888889 , 12.972107407407407 , 240.2745630279348 , 257.98955856828013 , II , 3.3910942 , 1.3470774 , nan , 0.0004517319625788
ngc3627 , "SN2016cok" , 170.07965125 , 12.982464638888889 , 61.367765356577905 , 351.20979461614627 , II , 4.8749094 , 1.2110753 , 3.370604 , 0.0004517319625788
ngc3627 , "SN2009hd" , 170.07072916666667 , 12.979569444444444 , 139.6131050423376 , 325.1490303240861 , II , 68.404076 , 1.8574204 , 17.742697 , 0.0004517319625788
ngc3627 , "SN1973R" , 170.04809375 , 12.997739999999999 , 338.11789529651713 , 488.6861242824415 , II , 10.426507 , 1.2085319 , 8.859421 , 0.0004517319625788
ngc4254 , "SN2014L" , 184.70291666666668 , 14.412069444444445 , 266.1503904555237 , 160.92822020115597 , Ic , 43.083294 , 1.0075488 , 7.9191947 , 0.000494815869629
ngc4254 , "SN1986I" , 184.71690625 , 14.412266111111112 , 168.59519354706515 , 162.34558085229372 , II , 4.968932 , 0.9254001 , 5.5154977 , 0.000494815869629
ngc4254 , "SN1972Q" , 184.71066666666667 , 14.44432638888889 , 212.1103782901225 , 393.17823595201406 , II , 2.592284 , 0.633742 , 1.7487494 , 0.000494815869629
ngc4254 , "SN1967H" , 184.71836111111114 , 14.41404861111111 , 158.450493073382 , 175.1800627591864 , II , 13.982137 , 0.832084 , 5.9410896 , 0.000494815869629
ngc4303 , "SN2014dt" , 185.48991666666666 , 4.471777777777778 , 117.55593676008563 , 193.2507615691672 , Ia , 0.83079255 , 0.97850513 , nan , 0.000503635821363
ngc4303 , "SN1999gn" , 185.48760972222217 , 4.462676851851852 , 138.25424596598214 , 111.34214667332682 , II , 7.4857783 , 0.91948825 , 3.686139 , 0.000503635821363
ngc4303 , "SN2006ov" , 185.48041875 , 4.487970833333334 , 202.77730073141146 , 338.98751565542256 , II , -0.62759334 , 1.2511787 , nan , 0.000503635821363
ngc4303 , "SN2020jfo" , 185.46016458333332 , 4.481692777777778 , 384.5072981494762 , 282.48710935329683 , II , 2.1475408 , 0.9978762 , nan , 0.000503635821363
ngc4303 , "SN1926A" , 185.47536458333335 , 4.493354166666666 , 248.12510207394456 , 387.43756648042245 , II , -0.81909573 , 0.8172306 , nan , 0.000503635821363
ngc4303 , "SN1961I" , 185.50184583333336 , 4.47037962962963 , 10.519872860778008 , 180.66992451107234 , II , 1.7587852 , 1.9515179 , nan , 0.000503635821363
ngc4303 , "SN1964F" , 185.4698125 , 4.473770833333334 , 297.942418412107 , 211.18798785622457 , II , 2.9759102 , 0.99257433 , 2.2395327 , 0.000503635821363
ngc4321 , "SN2006X" , 185.72488194444443 , 15.809006481481482 , 304.88763318168094 , 143.8619846766465 , Ia , 0.12854557 , 1.1225895 , nan , 0.000462934650464
ngc4321 , "SN1979C" , 185.74422222222222 , 15.797765277777778 , 137.4013906720773 , 42.69608917129949 , II , 1.4573174 , 0.79451734 , nan , 0.000462934650464
ngc4321 , "SN2020oi" , 185.72892708333336 , 15.8236125 , 269.85879623875906 , 275.31590763214297 , Ic , 14.004269 , 2.045856 , 10.249046 , 0.000462934650464
ngc4321 , "SN2019ehk" , 185.73393055555553 , 15.826070370370369 , 226.5345602297337 , 297.43737308210586 , Ib , 1.0024955 , 1.6639854 , 4.194681 , 0.000462934650464
ngc4321 , "SN1901B" , 185.6970833333333 , 15.82375 , 545.5920792633563 , 276.5735561756638 , I , 5.0824146 , 1.0344207 , 2.544713 , 0.000462934650464
ngc4321 , "SN1959E" , 185.74543194444445 , 15.816989814814816 , 126.93916867260555 , 215.7177371879258 , I , 18.02512 , 1.2416003 , 7.186052 , 0.000462934650464
ngc4424 , "SN2012cg" , 186.80345833333334 , 9.420333333333332 , 78.07938021320132 , 115.08377746293014 , Ia , -0.522859 , 0.97705775 , nan , 0.000316349305137
ngc4457 , "SN2020nvb" , 187.24497916666667 , 3.5727913888888887 , 183.98007804730452 , 193.58000473666854 , Ia , 14.789048 , 2.2111452 , 6.346348 , 0.0003086113495887
ngc4496a , "SN1960F" , 187.92522222222223 , 3.9466111111111113 , 66.42165125156563 , 353.7510142763567 , Ia , 0.02642009 , 0.8255818 , nan , 0.0003482539090036
ngc4496a , "SN1988M" , 187.92059375000002 , 3.922786666666666 , 121.82912063119215 , 67.85704784599295 , II , 0.0 , 0.52312535 , nan , 0.0003482539090036
ngc4536 , "SN1981B" , 188.62307291666667 , 2.199767361111111 , 356.9734161220465 , 540.0478012960401 , Ia , 0.042755257 , 0.33802134 , nan , 0.0004100974881516
ngc4579 , "SN1988A" , 189.431478125 , 11.805427222222223 , 233.14224213710693 , 131.82600135972788 , II , 0.74249816 , 0.55413073 , nan , 0.0004983384385216
ngc4579 , "SN1989M" , 189.4196111111111 , 11.823748333333334 , 316.7719766068988 , 263.7397060955327 , Ia , 7.6893353 , 0.5786358 , 4.3720036 , 0.0004983384385216
ngc5128 , "SN1986G" , 201.40205416666663 , -43.03167777777777 , 158.37238583480186 , 116.90819961198207 , Ia , 9.322093 , 0.9427408 , 8.594614 , 0.002258955715078
ngc5128 , "SN2016adj" , 201.35047708333332 , -43.01602777777778 , 226.2426565431022 , 145.08138963317262 , II , 67.15572 , 1.35903 , 35.12788 , 0.002258955715078
ngc5530 , "SN2007it" , 214.60666666666668 , -43.38166666666667 , 390.2595866318546 , 373.0812908090254 , II , 3.082237 , 1.3917842 , 1.7829744 , 0.0003125321832383
ngc6744 , "SN2005at" , 287.4732777777778 , -63.82312037037037 , 228.6160557905061 , 1000.6074709654724 , Ic , 4.835074 , 1.5029258 , 3.258406 , 0.000315039978844
