# CDFnondetectionII, ynondetectionII, CDFnondetectionII_mgsd_ca, ynondetectionII_mgsd_ca, CDFnondetectionII_mgsd_mda, ynondetectionII_mgsd_mda  
0.4948788732290268 0.027777777777777776 3.311881690071179 0.027777777777777776 3.4449367122008248 0.027777777777777776
0.5147606581449509 0.05555555555555555 3.4449367122008248 0.05555555555555555 4.658517775654968 0.05555555555555555
1.0376207828521729 0.08333333333333333 6.944077546779925 0.08333333333333333 6.167898776048689 0.08333333333333333
1.1628306806087494 0.1111111111111111 7.782020708689322 0.1111111111111111 9.672709969428235 0.1111111111111111
1.4033946990966797 0.1388888888888889 9.391949140108547 0.1388888888888889 11.289108331275022 0.1388888888888889
1.525282859802246 0.16666666666666669 10.207662215599646 0.16666666666666669 12.65320939996957 0.16666666666666669
1.6028920412063599 0.19444444444444442 10.7270467373041 0.19444444444444442 14.652822372310391 0.19444444444444442
1.9370786547660828 0.2222222222222222 12.963526381896092 0.2222222222222222 15.096204127395286 0.2222222222222222
2.509378731250763 0.25 16.793534586062798 0.25 15.149700648402863 0.25
2.571497619152069 0.2777777777777778 17.209253297402306 0.2777777777777778 17.488689443957945 0.2777777777777778
2.7502684593200684 0.3055555555555556 18.405642766218918 0.3055555555555556 17.93145171079785 0.3055555555555556
2.977723002433777 0.3333333333333333 19.92783855474912 0.3333333333333333 18.707445446834843 0.3333333333333333
2.9790989756584167 0.3611111111111111 19.937046990944786 0.3611111111111111 20.485809752469773 0.3611111111111111
3.432778000831604 0.3888888888888889 22.973206620949963 0.3888888888888889 20.78568588893682 0.3888888888888889
3.7535362243652344 0.41666666666666663 25.119819347675026 0.41666666666666663 20.966525646003976 0.41666666666666663
5.854553818702698 0.4444444444444444 39.180475555933434 0.4444444444444444 37.35711253893415 0.4444444444444444
