Names,MCSN55Int,MCSN55Intval,MCSN6Int,MCSN6Intval,MCSN65Int,MCSN65Intval,MCSN7Int,MCSN7Intval,MCSN75Int,MCSN75Intval,MCSN55Mass,MCSN55Massval,MCSN6Mass,MCSN6Massval,MCSN65Mass,MCSN65Massval,MCSN7Mass,MCSN7Massval,MCSN75Mass,MCSN75Massval,MCSN_SNR_7,MCSN_SNR_7_val,MCSN_SNR_9,MCSN_SNR_9_val
ngc1365_SN1983V_,12.759013584611813,5.265270233154297,66.17390589066842,5.97422981262207,458.1641448835059,18.591840744018555,3858.679612925075,61.703208923339844,5212.899825487941,187.46434020996094,12.759013584611813,5.265270233154297,241.94767446597095,1117129.2602015901,1149.6397693832407,3209288.722712777,4068.7433267442775,10246243.945273032,5528.237312252735,32130307.797157433,194.65271883890694,7.302624225616455,225.8981667684753,9.143956184387207
ngc1365_SN2012fr_,362.7857036809737,3.2033941745758057,492.2313653393689,7.145944118499756,1099.6273043580716,18.768064498901367,3998.2117111553916,58.720176696777344,4305.88418031494,185.48451232910156,362.7857036809737,3.2033941745758057,577.1392044317796,1019271.0144141498,3350.071704233395,3222674.5951196942,4086.0443496714825,10204010.570624942,4381.144355590347,35301554.526897766,580.0675652669759,7.296112537384033,668.5397836483108,9.221379280090332
ngc1433_SN1985P_,195.34567604068135,1.93169367313385,2171.8435285386677,6.240340709686279,4411.64455891084,18.83663558959961,5271.384293739921,62.32308578491211,5847.225872851784,198.546875,225.44042474522232,1.93169367313385,2241.952634665646,1033734.4326991035,4578.674770387847,3222820.408421906,5353.6733796104645,10082909.58003792,nan,nan,489.1698612754391,7.14287805557251,549.6151118047736,9.023707389831543
ngc1511_SN1935C_,359.79566719711,2.006276845932007,728.671398862284,5.904321193695068,1084.3797730063711,19.35802459716797,4220.625997266784,61.48082733154297,4380.867250143712,195.67886352539062,23.782481914721185,2.006276845932007,692.2186277817725,1004630.7335784553,973.2905441038764,3330235.4472234678,4051.598142958687,10098199.305866424,nan,nan,654.9648544354292,7.167001724243164,692.9707604154104,9.202351570129395
ngc1559_SN1984J_,12.8778283056132,13.6697416305542,12.8778283056132,13.6697416305542,116.65647594219355,18.770503997802734,1355.7191080328726,58.74265670776367,nan,nan,12.8778283056132,13.6697416305542,12.8778283056132,1732405.269249698,594.4445566633527,3341851.7452444825,3402.186356627187,10366677.62680326,nan,nan,12.8778283056132,11.623795509338379,12.8778283056132,11.623795509338379
ngc1559_SN1986L_,250.40500480337445,2.7693965435028076,403.7294592256838,6.992334842681885,1117.3187896395432,20.36133575439453,1508.4836471187975,59.949066162109375,nan,nan,250.40500480337445,2.7693965435028076,373.2363008311516,1162647.58289822,1117.3187896395432,3521358.696084456,1513.3909752262475,10278595.276275331,nan,nan,403.7294592256838,8.331950187683105,435.4519855547125,9.358800888061523
ngc1559_SN2005df_,1225.0816695880821,2.294994831085205,2551.2342302784327,5.9445672035217285,3554.546343488202,19.426746368408203,7552.837268028387,60.77131652832031,nan,nan,1166.2280549080026,2.294994831085205,1762.0013477053476,1012208.3355905614,3521.784052101596,3468480.3633279335,7614.943813113518,10233773.488407416,nan,nan,2551.2342302784327,7.207959175109863,2940.5776311957343,9.052961349487305
ngc1559_SN2009ib_,15.92835670677876,4.624680042266846,92.38535516794158,5.939242362976074,511.52872258413163,19.06941795349121,617.2470450639626,60.712890625,nan,nan,15.92835670677876,4.624680042266846,137.27188714798734,1011850.3915969005,532.4808778284115,4004136.2408813313,637.1610023001642,10384090.436584277,nan,nan,169.36338310888422,7.859261989593506,201.1761053021419,9.496081352233887
ngc1566_SN2010el_,7.614765089822285,14.904770851135254,7.614765089822285,14.904770851135254,35.94087356802814,18.895112991333008,457.6777133849451,58.82911682128906,1958.7646357425654,191.45494079589844,7.614765089822285,14.904770851135254,7.614765089822285,1735857.0512387953,92.69353835092997,3479936.488563135,627.1391235487512,10378658.978645608,2016.0412841871103,33385192.153638754,7.614765089822285,13.731280326843262,7.614765089822285,13.731280326843262
ngc1566_ASASSN-14ha_,7.168330791430105,61.926334381103516,7.168330791430105,61.926334381103516,7.168330791430105,61.926334381103516,7.168330791430105,61.926334381103516,577.5910393511059,189.28466796875,7.168330791430105,61.926334381103516,7.168330791430105,6794518.579826997,7.168330791430105,6794518.579826997,540.1480500825826,10247495.735757168,626.9203700447346,31862605.53927886,7.168330791430105,45.56260681152344,7.168330791430105,45.56260681152344
ngc1637_SN1999em_,4.2192527318370745,2.7754342555999756,154.44501353846496,5.876096248626709,959.7927376487922,18.687671661376953,1154.8676588853605,58.994998931884766,1321.3139843590384,187.64474487304688,4.2192527318370745,2.7754342555999756,138.56629313449665,1039940.0676232167,1055.927222225248,3201428.1589571536,1191.3868921006667,10409603.442495639,nan,nan,4.2192527318370745,11.63059139251709,4.2192527318370745,11.63059139251709
ngc1672_SN2017gax_,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
