galaxy,SN_name,SN_type,SN_ra,SN_dec,SN_xCoord,SN_yCoord,SN_co21int,SN_co21err,SN_co21ew,map_beamsize,orient_ra,orient_dec,dist,orient_posang,orient_incl,size_r25,telOrient,ImageFile150,ErrFile150,AlphaCOFile,NatRes,NatInt,pc60Int,pc90Int,pc120Int,pc150Int,pc500Int,pc750Int,pc1000Int,NatErr,pc60Err,pc90Err,pc120Err,pc150Err,pc500Err,pc750Err,pc1000Err,NatEW,pc60EW,pc90EW,pc120EW,pc150EW,pc500EW,pc750EW,pc1000EW,NatSNR,pc60SNR,pc90SNR,pc120SNR,pc150SNR,pc500SNR,pc750SNR,pc1000SNR,alphaCO,pc60mgsd,pc90mgsd,pc120mgsd,pc150mgsd,pc500mgsd,pc750mgsd,pc1000mgsd,pc60mgsdErr,pc90mgsdErr,pc120mgsdErr,pc150mgsdErr,pc500mgsdErr,pc750mgsdErr,pc1000mgsdErr,SN_percentile
ngc4303,SN1961I,II,185.5018,4.4704,10.519872860778008,180.66992451107234,1.7587852,1.9515179,nan,0.000503635821363,185.47888,4.473744,16.99,312.4,23.5,206.59573,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4303_alphaCO21_scaling.fits,149.34385530047734,1.7587852478027344,nan,nan,nan,1.7587852478027344,1.9040347337722778,1.7921884059906006,1.7532508373260498,1.951517939567566,nan,nan,nan,1.951517939567566,0.44509726762771606,0.2075202912092209,0.11327396333217621,nan,nan,nan,nan,nan,nan,3.640650749206543,7.9985880851745605,0.9012396002839006,nan,nan,nan,0.9012396002839006,4.277794702988004,8.636208033188067,15.477968508832316,6.3747648466139495,nan,nan,nan,11.211842370436075,12.137773687583467,11.42477964901797,11.176561805082574,nan,nan,nan,12.440467958691805,2.837390414997085,1.3228930573596311,0.7220948794865945,non-detection
ngc4303,SN1964F,II,185.4698,4.4738,297.942418412107,211.18798785622457,2.9759102,0.99257433,2.2395327,0.000503635821363,185.47888,4.473744,16.99,312.4,23.5,206.59573,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4303_alphaCO21_scaling.fits,149.34385530047734,2.017420768737793,nan,nan,nan,2.017420768737793,6.010025501251221,4.772434711456299,4.047948837280273,1.1028443574905396,nan,nan,nan,1.1028443574905396,0.30361679196357727,0.17580381035804749,0.10539326816797256,2.239532709121704,nan,nan,nan,2.239532709121704,6.139101982116699,6.753955841064453,8.646897315979004,1.8292887432713723,nan,nan,nan,1.8292887432713723,19.794773083473594,27.146366746753728,38.408039788924434,4.920706819089478,nan,nan,nan,9.927136133700795,29.57357346690854,23.483752028322336,19.918769446930366,nan,nan,nan,5.426773750298052,1.494009218605246,0.8650790084507577,0.5186093733602686,non-detection
ngc4254,SN1967H,II,184.7184,14.414,158.450493073382,175.1800627591864,13.982137,0.832084,5.9410896,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4254_alphaCO21_scaling.fits,113.13377612114876,13.50447940826416,nan,nan,13.50447940826416,13.967912673950195,12.66471004486084,13.596553802490234,13.744880676269531,0.9895024299621582,nan,nan,0.9895024299621582,0.6991239786148071,0.19791929423809052,0.10547419637441635,0.06778743863105774,5.941089630126953,nan,nan,5.941089630126953,5.704648971557617,8.545672416687012,10.45429801940918,12.269801139831543,13.64774759449617,nan,nan,13.64774759449617,19.9791640699053,63.989264379781,128.90881627791376,202.76441998462127,6.084862340688035,nan,nan,82.17289818194364,84.99282580773865,77.0630172077072,82.73315819591153,83.63570680428316,nan,nan,6.020986072096036,4.254073168945228,1.2043116600049115,0.6417959654330205,0.41247723249782453,non-detection
ngc5236,SN1968L,II,204.252,-29.8665,625.9979098150186,615.2835430994201,157.89561,1.1755879,14.017309,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC5236_alphaCO21_scaling.fits,50.69968757298903,157.89561462402344,164.29913330078125,181.96917724609375,202.79049682617188,222.9096221923828,205.35548400878906,137.11279296875,95.94841766357422,1.1755878925323486,0.9599323868751526,0.6156549453735352,0.4450325667858124,0.3551063537597656,0.07494845986366272,0.05347259342670441,0.050196584314107895,14.017309188842773,15.185856819152832,20.49120330810547,25.899349212646484,30.699535369873047,45.719520568847656,42.519447326660156,40.938941955566406,134.3120455960962,171.15698516602893,295.570073161173,455.67563356272746,627.7263693884347,2739.9560228768837,2564.1694965981465,1911.4531192634881,4.356201929971154,715.7202015774511,792.6944811146966,883.3963536539791,971.0393264035988,894.5699557692474,597.291013354204,417.97068220374035,4.181659316347356,2.681917261232479,1.9386517263323724,1.5469149835933103,0.3264906255064531,0.23293741468597257,0.21866645746707655,1.0
ngc4254,SN1972Q,II,184.7107,14.4443,212.1103782901225,393.17823595201406,2.592284,0.633742,1.7487494,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4254_alphaCO21_scaling.fits,113.13377612114876,2.6713454723358154,nan,nan,2.6713454723358154,2.103114366531372,1.35248863697052,1.3330671787261963,1.3318581581115723,0.7750155925750732,nan,nan,0.7750155925750732,0.5420306324958801,0.15149438381195068,0.08889375627040863,0.06402065604925156,1.7487493753433228,nan,nan,1.7487493753433228,2.9733145236968994,6.8195881843566895,7.095390319824219,8.066129684448242,3.4468280353689154,nan,nan,3.4468280353689154,3.8800655174177034,8.927648688609858,14.996184598962143,20.803569352475304,11.266102519195709,nan,nan,30.09565195552458,23.693902062935777,15.237275640157145,15.018471500504315,15.00485055031214,nan,nan,8.731405119925988,6.106572674243078,1.706751259107819,1.00148617145882,0.721263274397035,non-detection
ngc3627,SN1973R,II,170.0481,12.9977,338.11789529651713,488.6861242824415,10.426507,1.2085319,8.859421,0.0004517319625788,170.06252,12.9915,11.32,173.1,57.3,308.40494,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC3627_alphaCO21_scaling.fits,89.24925814494215,10.597807884216309,nan,10.597807884216309,11.408000946044922,11.597638130187988,12.283456802368164,14.087485313415527,14.182056427001953,1.4858373403549194,nan,1.4858373403549194,1.0065913200378418,0.7775864601135254,0.18702666461467743,0.10418105870485306,0.06427794694900513,8.912955284118652,nan,8.912955284118652,10.34438705444336,10.452491760253906,14.820991516113281,17.878705978393555,20.47446060180664,7.132549166980033,nan,7.132549166980033,11.333299541680978,14.914917793829341,65.67756970737416,135.22117636878355,220.63642509075905,5.771662834987863,nan,61.16697389767263,65.84313508179386,66.93765696964414,70.89597111140719,81.30821542187775,81.85404800342793,nan,8.5757521561637,5.809705711883785,4.487966872827006,1.0794548493082734,0.6012979446364892,0.37099063751489436,non-detection
ngc4321,SN1979C,II,185.7442,15.7978,137.4013906720773,42.69608917129949,1.4573174,0.79451734,nan,0.000462934650464,185.72887,15.822304,15.21,156.2,38.5,182.86105,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4321_alphaCO21_scaling.fits,122.89275219530901,1.2450019121170044,nan,nan,1.2450019121170044,1.1129741668701172,1.823836088180542,1.7618968486785889,1.8028435707092285,0.9978695511817932,nan,nan,0.9978695511817932,0.8127042651176453,0.2506979703903198,0.13060377538204193,0.06793591380119324,nan,nan,nan,nan,nan,5.667973518371582,6.304020881652832,7.43648099899292,1.2476599878636725,nan,nan,1.2476599878636725,1.369470070037107,7.275033321334641,13.490397528897548,26.537415482259444,6.534167833843045,nan,nan,8.135051447228015,7.2723600010609815,11.917251101591425,11.512529715185062,11.78008246917898,nan,nan,6.52024712370347,5.310346067558768,1.638102614134164,0.8533869880798006,0.4439046627224907,non-detection
ngc4536,SN1981B,Ia,188.6231,2.1998,356.9734161220465,540.0478012960401,0.042755257,0.33802134,nan,0.0004100974881516,188.61278,2.188243,16.25,305.6,66.0,212.38373,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4536/ngc4536_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4536/ngc4536_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4536_alphaCO21_scaling.fits,116.31021061381435,-0.32668718695640564,nan,nan,-0.32668718695640564,-0.01144673302769661,0.35695502161979675,0.32592183351516724,0.2780652642250061,0.4232988953590393,nan,nan,0.4232988953590393,0.3203408420085907,0.10755953192710876,0.06112402677536011,0.03791852667927742,nan,nan,nan,nan,nan,nan,1.6934887170791626,5.414748668670654,-0.7717647991481569,nan,nan,-0.7717647991481569,-0.03573298039651665,3.3186739959197573,5.332139433695664,7.333229652537359,10.311765660721317,nan,nan,-3.3687217162547087,-0.11803602856244645,3.6808365343610556,3.3608295709210316,2.8673438430748175,nan,nan,4.364959013384608,3.303279694350738,1.1091286878092184,0.6302966403471687,0.391006961316518,non-detection
ngc5236,SN1983N,Ib,204.2135,-29.9006,866.565592737917,369.37333275036656,2.8444028,0.6853391,nan,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC5236_alphaCO21_scaling.fits,50.69968757298903,2.5388102531433105,2.352609872817993,2.0747275352478027,1.7841945886611938,1.5547443628311157,1.9858909845352173,2.08491587638855,2.2154974937438965,0.743571937084198,0.66567063331604,0.5150554776191711,0.4037889242172241,0.31346723437309265,0.05788576975464821,0.02923988737165928,0.020604467019438744,nan,nan,3.8591697216033936,3.6428279876708984,3.5471982955932617,8.638157844543457,10.044561386108398,11.30960464477539,3.41434382677063,3.5341950734681817,4.028163227849105,4.41863181888902,4.959830541589043,34.307067055556445,71.30382719631649,107.52510567993549,6.448827085395347,15.171574269197178,13.37955912412156,11.505962388974117,10.02627755789103,12.806667569713142,13.445261974425257,14.287360245281148,4.292794810080753,3.321503714551748,2.6039649512746843,2.0214959914091715,0.3732953198527342,0.18856297765626573,0.13287464499509172,non-detection
ngc1365,SN1983V,Ic,53.3819,-36.1486,571.5153905023813,127.96380165601636,5.781725,1.1458964,3.55028,0.0003829740084505,53.40152,-36.140404,19.57,201.1,55.4,360.67926,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1365/ngc1365_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1365/ngc1365_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC1365_alphaCO21_scaling.fits,130.80896025947337,5.4635701179504395,nan,nan,5.4635701179504395,5.265270233154297,4.432641506195068,3.433601140975952,2.623316764831543,1.1439259052276611,nan,nan,1.1439259052276611,0.9760870933532715,0.31946268677711487,0.2068311721086502,0.15018470585346222,2.933166742324829,nan,nan,2.933166742324829,3.6586058139801025,6.8307576179504395,7.752464294433594,7.045748710632324,4.776157348113464,nan,nan,4.776157348113464,5.394262734348704,13.875302780783494,16.600984783726176,17.4672697191361,5.226342740029175,nan,nan,28.55449002059062,27.518106857337678,23.16650375505458,17.945176395295558,13.710352528674155,nan,nan,5.978548849917888,5.10136569398305,1.6696214937477885,1.0809705947617687,0.7849167471006594,0.24
