galaxy,SN,NatRes,NatInt,pc60Int,pc90Int,pc120Int,pc150Int,pc500Int,pc750Int,pc1000Int,pc1250Int,NatErr,pc60Err,pc90Err,pc120Err,pc150Err,pc500Err,pc750Err,pc1000Err,pc1250Err,NatEW,pc60EW,pc90EW,pc120EW,pc150EW,pc500EW,pc750EW,pc1000EW,pc1250EW,NatSNR,pc60SNR,pc90SNR,pc120SNR,pc150SNR,pc500SNR,pc750SNR,pc1000SNR,pc1250SNR,alphaCO
ngc4496a,SN1988M,90.32171534735664,0.0,nan,nan,nan,nan,nan,nan,nan,nan,0.5231253504753113,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc4496a,SN1960F,90.32171534735664,-0.14958108961582184,nan,nan,nan,nan,nan,nan,nan,nan,0.8218817710876465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc4536,SN1981B,116.31021061381435,0.042755257338285446,nan,nan,nan,nan,nan,nan,nan,nan,0.33802133798599243,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc4579,SN1988A,182.65057736985878,0.7424981594085693,nan,nan,nan,nan,nan,nan,nan,nan,0.5541307330131531,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc4579,SN1989M,182.65057736985878,6.764846324920654,nan,nan,nan,nan,nan,nan,nan,nan,0.557327926158905,nan,nan,nan,nan,nan,nan,nan,nan,4.653823375701904,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc4945,SN2011ja,132.8612454319675,48.651939392089844,nan,nan,nan,nan,nan,nan,nan,nan,0.7248021364212036,nan,nan,nan,nan,nan,nan,nan,nan,11.348099708557129,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5128,SN1986G,145.48273291568873,9.314562797546387,nan,nan,nan,nan,nan,nan,nan,nan,0.9835507869720459,nan,nan,nan,nan,nan,nan,nan,nan,8.594614028930664,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5128,SN2016adj,145.48273291568873,67.5713119506836,nan,nan,nan,nan,nan,nan,nan,nan,1.4254164695739746,nan,nan,nan,nan,nan,nan,nan,nan,35.12788009643555,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5236,SN1957D,50.69968757298903,41.32082748413086,nan,nan,nan,nan,nan,nan,nan,nan,0.6190958023071289,nan,nan,nan,nan,nan,nan,nan,nan,5.340254306793213,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5236,SN1923A,50.69968757298903,3.1662843227386475,nan,nan,nan,nan,nan,nan,nan,nan,0.6370633244514465,nan,nan,nan,nan,nan,nan,nan,nan,6.310522079467773,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5236,SN1950B,50.69968757298903,59.00484085083008,nan,nan,nan,nan,nan,nan,nan,nan,0.7553257942199707,nan,nan,nan,nan,nan,nan,nan,nan,5.788224697113037,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5236,SN1983N,50.69968757298903,2.6424331665039062,nan,nan,nan,nan,nan,nan,nan,nan,0.6879773736000061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5236,SN1968L,50.69968757298903,157.89561462402344,nan,nan,nan,nan,nan,nan,nan,nan,1.1755878925323486,nan,nan,nan,nan,nan,nan,nan,nan,14.017309188842773,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc5530,SN2007it,66.92936060767958,3.0822370052337646,nan,nan,nan,nan,nan,nan,nan,nan,1.3917841911315918,nan,nan,nan,nan,nan,nan,nan,nan,1.782974362373352,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc6744,SN2005at,51.6307732695387,7.229698657989502,nan,nan,nan,nan,nan,nan,nan,nan,1.5039339065551758,nan,nan,nan,nan,nan,nan,nan,nan,3.072154998779297,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
ngc7793,SN2008bk,140.20278751803758,-0.007571052759885788,nan,nan,nan,nan,nan,nan,nan,nan,0.17158688604831696,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,6.692307692307692
