Galaxy,SN Name,SN Type,ra,Dec,xCoord,yCoord,co21int,co21err,co21ew,beamsize
ngc4303,SN1964F,II,185.4698,4.4738,297.942418412107,211.18798785622457,2.9759102,0.99257433,2.2395327,0.000503635821363
ngc4321,SN2006X,Ia,185.7249,15.809,304.88763318168094,143.8619846766465,0.12854557,1.1225895,nan,0.000462934650464
ngc4321,SN1979C,II,185.7442,15.7978,137.4013906720773,42.69608917129949,1.4573174,0.79451734,nan,0.000462934650464
ngc4321,SN2020oi,Ic,185.7289,15.8236,269.85879623875906,275.31590763214297,14.004269,2.045856,10.249046,0.000462934650464
ngc4321,SN2019ehk,Ib,185.7339,15.8261,226.5345602297337,297.43737308210586,1.0024955,1.6639854,4.194681,0.000462934650464
ngc4321,SN1901B,I,185.6971,15.8238,545.5920792633563,276.5735561756638,5.0824146,1.0344207,2.544713,0.000462934650464
ngc4321,SN1959E,I,185.7454,15.817,126.93916867260555,215.7177371879258,18.02512,1.2416003,7.186052,0.000462934650464
ngc4424,SN2012cg,Ia,186.8035,9.4203,78.07938021320132,115.08377746293014,-0.522859,0.97705775,nan,0.000316349305137
ngc4457,SN2020nvb,Ia,187.245,3.5728,183.98007804730452,193.58000473666854,14.789048,2.2111452,6.346348,0.0003086113495887
ngc4496a,SN1960F,Ia,187.9252,3.9466,66.42165125156563,353.7510142763567,0.02642009,0.8255818,nan,0.0003482539090036
ngc4496a,SN1988M,II,187.9206,3.9228,121.82912063119215,67.85704784599295,0.0,0.52312535,nan,0.0003482539090036
ngc4536,SN1981B,Ia,188.6231,2.1998,356.9734161220465,540.0478012960401,0.042755257,0.33802134,nan,0.0004100974881516
ngc4579,SN1988A,II,189.4315,11.8054,233.14224213710693,131.82600135972788,0.74249816,0.55413073,nan,0.0004983384385216
ngc4579,SN1989M,Ia,189.4196,11.8237,316.7719766068988,263.7397060955327,7.6893353,0.5786358,4.3720036,0.0004983384385216
ngc5128,SN1986G,Ia-91bg,201.4021,-43.0317,158.37238583480186,116.90819961198207,9.322093,0.9427408,8.594614,0.002258955715078
ngc5128,SN2016adj,IIb,201.3505,-43.016,226.2426565431022,145.08138963317262,67.15572,1.35903,35.12788,0.002258955715078
ngc5530,SN2007it,II,214.6067,-43.3817,390.2595866318546,373.0812908090254,3.082237,1.3917842,1.7829744,0.0003125321832383
ngc6744,SN2005at,Ic,287.4733,-63.8231,228.6160557905061,1000.6074709654724,4.835074,1.5029258,3.258406,0.000315039978844
