#Galaxy,Supernova,Ra,Dec,xCoord,yCoord,Type,Intensity(12m+7m+tp),Err,EW,binVal,beamSize
ngc3627 , "SN1989B" , 170.05796666666666 , 13.005307777777778 , 251.5371313808383 , 556.7930397399508 , Ia , 18.207338 , 1.6413838 , 11.721322 , 1.0 , 0.0004517319625788
ngc3627 , "SN1997bs" , 170.0592513888889 , 12.972107407407407 , 240.2745630279348 , 257.98955856828013 , IIn , 4.510588 , 1.7695267 , nan , 1.0 , 0.0004517319625788
ngc3627 , "SN2016cok" , 170.07957933333336 , 12.98244948888889 , 61.99846154040296 , 351.0734013168188 , II , 4.5245953 , 1.6275977 , 2.8767483 , 1.0 , 0.0004517319625788
ngc3627 , "SN2009hd" , 170.07072916666667 , 12.979569444444444 , 139.6131050423376 , 325.1490303240861 , II , 68.43151 , 1.9590499 , 17.742697 , 1.0 , 0.0004517319625788
ngc3627 , "SN1973R" , 170.04809375 , 12.997739999999999 , 338.11789529651713 , 488.6861242824415 , II , 11.497154 , 1.4754899 , 8.859421 , 1.0 , 0.0004517319625788
ngc3627 , "AT2020cwh" , 170.08333333333334 , 12.990277777777777 , 29.08193599920375 , 421.530498612738 , Candidate , 3.8496144 , 1.9252776 , nan , 1.0 , 0.0004517319625788
ngc4254 , "SN2014L" , 184.70291666666668 , 14.412069444444445 , 266.1503904555237 , 160.92822020115597 , Ic , 42.471535 , 1.3062146 , 7.9191947 , 1.0 , 0.000494815869629
ngc4254 , "SN1986I" , 184.71690625 , 14.412266111111112 , 168.59519354706515 , 162.34558085229372 , II , 4.672134 , 0.9908244 , 5.5154977 , 1.0 , 0.000494815869629
ngc4254 , "SN1972Q" , 184.71066666666667 , 14.44432638888889 , 212.1103782901225 , 393.17823595201406 , II , 2.6713455 , 0.7750156 , 1.7487494 , 1.0 , 0.000494815869629
ngc4254 , "SN1967H" , 184.71836111111114 , 14.41404861111111 , 158.450493073382 , 175.1800627591864 , II , 13.504479 , 0.98950243 , 5.9410896 , 1.0 , 0.000494815869629
ngc4303 , "SN2014dt" , 185.48991666666666 , 4.471777777777778 , 117.55593676008563 , 193.2507615691672 , Ia , 1.2786945 , 0.99553216 , nan , 1.0 , 0.000503635821363
ngc4303 , "SN1999gn" , 185.48760972222217 , 4.462676851851852 , 138.25424596598214 , 111.34214667332682 , II , 7.4857783 , 0.91948825 , 3.686139 , 1.0 , 0.000503635821363
ngc4303 , "SN2006ov" , 185.48041875 , 4.487970833333334 , 202.77730073141146 , 338.98751565542256 , II , -0.7098836 , 1.3054818 , nan , 1.0 , 0.000503635821363
ngc4303 , "SN2020jfo" , 185.46016458333332 , 4.481692777777778 , 384.5072981494762 , 282.48710935329683 , II , 2.5670004 , 1.0716689 , nan , 1.0 , 0.000503635821363
ngc4303 , "SN1926A" , 185.47536458333335 , 4.493354166666666 , 248.12510207394456 , 387.43756648042245 , II , -0.90550584 , 0.9430827 , nan , 1.0 , 0.000503635821363
ngc4303 , "AT2021ilb" , 185.47135 , 4.469083333333334 , 284.1475041762473 , 169.00033448875968 , Candidate , 8.415161 , 1.1762323 , 3.7318919 , 1.0 , 0.000503635821363
ngc4303 , "SN1961I" , 185.50184583333336 , 4.47037962962963 , 10.519872860778008 , 180.66992451107234 , II , 1.7587852 , 1.9515179 , nan , 1.0 , 0.000503635821363
ngc4303 , "SN1964F" , 185.4698125 , 4.473770833333334 , 297.942418412107 , 211.18798785622457 , II , 2.0174208 , 1.1028444 , 2.2395327 , 1.0 , 0.000503635821363
ngc4321 , "SN2006X" , 185.72488194444443 , 15.809006481481482 , 304.88763318168094 , 143.8619846766465 , Ia , 0.00961966 , 1.2862663 , nan , 1.0 , 0.000462934650464
ngc4321 , "SN1979C" , 185.74422222222222 , 15.797765277777778 , 137.4013906720773 , 42.69608917129949 , II , 1.4123398 , 0.99981385 , nan , 1.0 , 0.000462934650464
ngc4321 , "SN2020oi" , 185.72892708333336 , 15.8236125 , 269.85879623875906 , 275.31590763214297 , Ic , 14.313914 , 2.0576885 , 10.249046 , 1.0 , 0.000462934650464
ngc4321 , "SN2019ehk" , 185.73393055555553 , 15.826070370370369 , 226.5345602297337 , 297.43737308210586 , Ib , -0.0413801 , 1.9342024 , 4.194681 , 1.0 , 0.000462934650464
ngc4321 , "SN1901B" , 185.6970833333333 , 15.82375 , 545.5920792633563 , 276.5735561756638 , I , 5.816958 , 1.2201918 , 2.544713 , 1.0 , 0.000462934650464
ngc4321 , "PTSS-19clju" , 185.73407 , 15.826055 , 225.32712850365573 , 297.29907214167656 , unclassified , 1.9515506 , 1.8884287 , 2.005981 , 1.0 , 0.000462934650464
ngc4321 , "SN1959E" , 185.74543194444445 , 15.816989814814816 , 126.93916867260555 , 215.7177371879258 , I , 17.931828 , 1.3531885 , 7.186052 , 1.0 , 0.000462934650464
ngc4424 , "SN2012cg" , 186.80345833333334 , 9.420333333333332 , 78.07938021320132 , 115.08377746293014 , Ia , -0.29550263 , 1.021125 , nan , 1.0 , 0.000316349305137
ngc4457 , "SN2020nvb" , 187.24497916666667 , 3.5727913888888887 , 183.98007804730452 , 193.58000473666854 , Ia , 14.789048 , 2.2111452 , 6.346348 , 1.0 , 0.0003086113495887
ngc4496a , "SN1960F" , 187.92522222222223 , 3.9466111111111113 , 66.42165125156563 , 353.7510142763567 , Ia , -0.27922353 , 0.8654397 , nan , 1.0 , 0.0003482539090036
ngc4496a , "SN1988M" , 187.92059375000002 , 3.922786666666666 , 121.82912063119215 , 67.85704784599295 , II , 0.0 , 0.52312535 , nan , 1.0 , 0.0003482539090036
ngc4536 , "SN1981B" , 188.62307291666667 , 2.199767361111111 , 356.9734161220465 , 540.0478012960401 , Ia , -0.3266872 , 0.4232989 , nan , 1.0 , 0.0004100974881516
ngc4579 , "SN1988A" , 189.431478125 , 11.805427222222223 , 233.14224213710693 , 131.82600135972788 , II , 0.74249816 , 0.55413073 , nan , 1.0 , 0.0004983384385216
ngc4579 , "SN1989M" , 189.4196111111111 , 11.823748333333334 , 316.7719766068988 , 263.7397060955327 , Ia , 7.6893353 , 0.5786358 , 4.3720036 , 1.0 , 0.0004983384385216
ngc4826 , "AT2021qyz" , 194.16090416666668 , 21.696575 , 586.2488819386294 , 430.998829123408 , Candidate , 0.44086498 , 1.7813754 , nan , 0.9998736 , 0.0003500270237802
ngc4945 , "SN2005af" , 196.18358125 , -49.56661111111111 , 415.50389725563696 , 34.763486624285434 , II , nan , nan , nan , -5.3192825e-18 , 0.002193771937916
ngc4945 , "SN2011ja" , 196.29627777777782 , -49.52418055555555 , 284.0064230617902 , 111.34989236937538 , II , 48.65194 , 0.72480214 , 11.3481 , 1.0 , 0.002193771937916
ngc5128 , "SN1986G" , 201.40205416666663 , -43.03167777777777 , 158.37238583480186 , 116.90819961198207 , Ia-91bg , 9.314563 , 0.9835508 , 8.594614 , 0.9974425 , 0.002258955715078
ngc5128 , "SN2016adj" , 201.35047708333332 , -43.01602777777778 , 226.2426565431022 , 145.08138963317262 , IIb , 67.57131 , 1.4254165 , 35.12788 , 0.9974425 , 0.002258955715078
ngc5128 , "AT2020nqq" , 201.43510416666666 , -43.00358055555556 , 114.8487964380117 , 167.4592302400142 , LRN , 0.0 , 0.20585959 , nan , 0.9974425 , 0.002258955715078
ngc5236 , "SN1983N" , 204.2134583333333 , -29.90061111111111 , 866.565592737917 , 369.37333275036656 , Ib , 2.6556132 , 0.74072045 , nan , 1.0 , 0.000594044605435
ngc5236 , "SN1968L" , 204.25200138888889 , -29.866462962962967 , 625.9979098150186 , 615.2835430994201 , II , 157.89561 , 1.1755879 , 14.017309 , 0.99489796 , 0.000594044605435
ngc5236 , "SN1923A" , 204.28833333333333 , -29.83888888888889 , 399.09014170428725 , 813.7841220160797 , II , 3.2454817 , 0.69808394 , 6.310522 , 1.0 , 0.000594044605435
ngc5236 , "PSN , 204.33208333333334 , -29.896833333333333 , 126.13521350494324 , 396.44971433754506 , -29:53:48.6 , nan , nan , nan , 5.8172976e-13 , 0.000594044605435
ngc5236 , "AT2018eoq" , 204.25008333333332 , -29.864563888888892 , 637.9741948127413 , 628.9566141021753 , Candidate , 53.706833 , 1.255471 , 19.454746 , 0.99489796 , 0.000594044605435
ngc5236 , "SN1950B" , 204.22029166666667 , -29.865520833333335 , 823.9876389446778 , 622.0369070359835 , unclassified , 59.583004 , 0.8506538 , 5.7882247 , 0.99489796 , 0.000594044605435
ngc5236 , "SN1957D" , 204.2646875 , -29.828027777777777 , 546.7621815937086 , 892.0135629822324 , unclassified , 41.360344 , 0.66693884 , 5.3402543 , 0.995224 , 0.000594044605435
ngc5530 , "SN2007it" , 214.60670833333336 , -43.381652777777774 , 389.89620179511127 , 373.2479846142081 , II , 1.2647198 , 1.6904545 , 1.7829744 , 1.0 , 0.0003125321832383
ngc6744 , "SN2005at" , 287.4732777777778 , -63.82312037037037 , 228.6160557905061 , 1000.6074709654724 , Ic , 4.5270386 , 1.7965559 , 3.258406 , 1.0 , 0.000315039978844
ngc7793 , "SN2008bk" , 359.4540020833333 , -32.55632083333333 , 113.84475409642631 , 145.60274947004245 , II , 0.12067704 , 0.20986274 , nan , 1.0 , 0.002219068508634
