# CDFdetectionII, ydetectionII, CDFdetectionII_mgsd_ca, ydetectionII_mgsd_ca, CDFdetectionII_mgsd_mda, ydetectionII_mgsd_mda  
2.2311129570007324 0.4722222222222222 14.931294404543362 0.4722222222222222 16.654639311705584 0.4722222222222222
2.6020655632019043 0.5 17.41382338450505 0.5 17.41382338450505 0.5
2.6960041522979736 0.5277777777777778 18.042489326917206 0.5277777777777778 19.91532619742614 0.5277777777777778
2.7754342555999756 0.5555555555555556 18.574060018245987 0.5555555555555556 23.10251276312444 0.5555555555555556
3.6781487464904785 0.5833333333333334 24.615303149590122 0.5833333333333334 25.122212853595038 0.5833333333333334
5.222754001617432 0.6111111111111112 34.952276780055115 0.6111111111111112 30.819080582223563 0.6111111111111112
5.636970520019531 0.6388888888888888 37.7243411724384 0.6388888888888888 32.21433120827519 0.6388888888888888
6.382997035980225 0.6666666666666666 42.71698016386765 0.6666666666666666 34.262374802274024 0.6666666666666666
10.533950805664062 0.6944444444444444 70.49644000713641 0.6944444444444444 63.00149542784619 0.6944444444444444
11.580377578735352 0.7222222222222222 77.49944994999811 0.7222222222222222 66.85720082715419 0.7222222222222222
12.753849029541016 0.75 85.35268196692833 0.75 67.95204911797947 0.75
13.6697416305542 0.7777777777777778 91.48211706601656 0.7777777777777778 84.70125347048977 0.7777777777777778
14.161813735961914 0.8055555555555556 94.77521500220665 0.8055555555555556 86.22356482746974 0.8055555555555556
48.277645111083984 0.8333333333333334 323.08885574340815 0.8333333333333334 266.5625334216323 0.8333333333333334
61.926334381103516 0.8611111111111112 414.43008393507733 0.8611111111111112 323.08885574340815 0.8611111111111112
67.5713119506836 0.8888888888888888 452.20801074688245 0.8888888888888888 452.20801074688245 0.8888888888888888
114.62438201904297 0.9166666666666667 767.1016335120568 0.9166666666666667 597.0893181395909 0.9166666666666667
186.84803771972656 0.9444444444444444 1250.4445601243237 0.9444444444444444 936.33515142405 0.9444444444444444
222.9096221923828 0.9722222222222222 1491.7797792874849 0.9722222222222222 1094.8779124441846 0.9722222222222222
260.3741149902344 1.0 1742.503692626953 1.0 1491.7797792874849 1.0
