galaxy,SN_name,SN_type,SN_ra,SN_dec,SN_xCoord,SN_yCoord,SN_co21int,SN_co21err,SN_co21ew,map_beamsize,orient_ra,orient_dec,dist,orient_posang,orient_incl,size_r25,telOrient,ImageFile150,ErrFile150,AlphaCOFile,Names,MCSN55Int,MCSN55Intval,MCSN6Int,MCSN6Intval,MCSN65Int,MCSN65Intval,MCSN7Int,MCSN7Intval,MCSN75Int,MCSN75Intval,MCSN55Mass,MCSN55Massval,MCSN6Mass,MCSN6Massval,MCSN65Mass,MCSN65Massval,MCSN7Mass,MCSN7Massval,MCSN75Mass,MCSN75Massval,MCSN_SNR_7,MCSN_SNR_7_val,MCSN_SNR_9,MCSN_SNR_9_val,MCSN_SNR_1,MCSN_SNR_1_val,MCSN_SNR_3,MCSN_SNR_3_val,MCSN_SNR_5,MCSN_SNR_5_val
ngc1566,ASASSN-14ha,II,65.0059,-54.9381,258.9038295074317,423.1062029210927,68.05383,1.8849889,12.188041,0.0003484111476313,65.00159,-54.93801,17.69,214.7,29.5,216.83093,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1566/ngc1566_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1566/ngc1566_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC1566_alphaCO21_Sun+20.fits,ngc1566_ASASSN-14ha_,7.168330791430105,61.926334381103516,7.168330791430105,61.926334381103516,7.168330791430105,61.926334381103516,7.168330791430105,61.926334381103516,577.5910393511059,189.28466796875,7.168330791430105,61.926334381103516,7.168330791430105,6794518.579826997,7.168330791430105,6794518.579826997,540.1480500825826,10247495.735757168,626.9203700447346,31862605.53927886,7.168330791430105,45.56260681152344,7.168330791430105,45.56260681152344,7.168330791430105,45.56260681152344,7.168330791430105,45.56260681152344,7.168330791430105,45.56260681152344
ngc4321,SN1901B,I,185.6971,15.8238,545.5920792633563,276.5735561756638,5.0824146,1.0344207,2.544713,0.000462934650464,185.72887,15.822304,15.21,156.2,38.5,182.86105,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4321_alphaCO21_Sun+20.fits,ngc4321_SN1901B_,16.217608974124317,5.4790143966674805,32.95206950182446,6.2370805740356445,375.2361429425682,20.15619659423828,5429.02766974846,58.92905044555664,9348.094692036415,186.10044860839844,16.217608974124317,5.4790143966674805,16.217608974124317,1053493.1724780116,354.5195224142885,3342420.1186717595,5465.47290014249,10169412.927852659,9838.242679663315,32548988.676900666,32.95206950182446,7.592727184295654,74.35152882558509,9.115458488464355,16.217608974124317,6.640030384063721,16.217608974124317,6.640030384063721,16.217608974124317,6.640030384063721
ngc5236,SN1923A,II,204.2883,-29.8389,399.09014170428725,813.7841220160797,3.1662843,0.6370633,6.310522,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC5236_alphaCO21_Sun+20.fits,ngc5236_SN1923A_,4.97955838549907,2.6020655632019043,165.25801448750806,6.16483211517334,701.2762889030039,18.5152530670166,1327.7521680207906,60.38484573364258,3136.7306821082784,189.17770385742188,4.97955838549907,2.6020655632019043,165.25801448750806,1053035.375,701.2762889030039,3162651.75,1327.7521680207906,10314536.0,3136.7306821082784,32314072.0,4.97955838549907,9.050134658813477,4.97955838549907,9.050134658813477,4.97955838549907,9.050134658813477,4.97955838549907,9.050134658813477,4.97955838549907,9.050134658813477
ngc4303,SN1926A,II,185.4754,4.4934,248.12510207394456,387.43756648042245,-0.81909573,0.8172306,nan,0.000503635821363,185.47888,4.473744,16.99,312.4,23.5,206.59573,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4303_alphaCO21_Sun+20.fits,ngc4303_SN1926A_,342.78674359206354,2.474761962890625,753.3188952674144,6.689883708953857,1374.0690652957783,19.516071319580078,2324.8692837561057,58.663883209228516,5888.656028873586,187.29049682617188,342.78674359206354,2.474761962890625,787.8119850341664,1094886.017648474,1632.1249620713518,3308395.4542398695,2764.0220923465095,10783802.816151919,nan,nan,753.3188952674144,7.599118709564209,1064.3124240754935,9.10204029083252,173.86168820609467,1.7198883295059204,342.78674359206354,3.0984394550323486,620.4581082472704,5.199477195739746
ngc1511,SN1935C,unclassified,59.9373,-67.6374,112.46713980638378,194.45954575675466,2.5883038,0.76610756,nan,0.0004017774799122,59.90246,-67.63393,15.28,297.0,72.7,110.94844,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1511/ngc1511_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1511/ngc1511_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC1511_alphaCO21_Sun+20.fits,ngc1511_SN1935C_,359.79566719711,2.006276845932007,728.671398862284,5.904321193695068,1084.3797730063711,19.35802459716797,4220.625997266784,61.48082733154297,4380.867250143712,195.67886352539062,23.782481914721185,2.006276845932007,692.2186277817725,1004630.7335784553,973.2905441038764,3330235.4472234678,4051.598142958687,10098199.305866424,nan,nan,654.9648544354292,7.167001724243164,692.9707604154104,9.202351570129395,16.298633960440384,2.962536096572876,23.782481914721185,3.1727781295776367,421.25550351678424,5.000575542449951
ngc0253,SN1940E,I,11.8783,-25.2934,296.9010534051223,236.26662905273994,219.30367,1.465811,45.862267,0.00232543637022,11.887966,-25.288443,3.7,52.48,75.0,803.7504,7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc0253/ngc0253_7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc0253/ngc0253_7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC0253_alphaCO21_Sun+20.fits,ngc0253_SN1940E_,30.57009156537961,219.3036651611328,30.57009156537961,219.3036651611328,30.57009156537961,219.3036651611328,30.57009156537961,219.3036651611328,30.57009156537961,219.3036651611328,30.57009156537961,219.3036651611328,30.57009156537961,25051121.539413508,30.57009156537961,25051121.539413508,30.57009156537961,25051121.539413508,172.50886307740876,32268517.804338302,30.57009156537961,149.6125030517578,30.57009156537961,149.6125030517578,30.57009156537961,149.6125030517578,30.57009156537961,149.6125030517578,30.57009156537961,149.6125030517578
ngc5236,SN1950B,unclassified,204.2203,-29.8655,823.9876389446778,622.0369070359835,59.00484,0.7553258,5.7882247,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC5236_alphaCO21_Sun+20.fits,ngc5236_SN1950B_,2.3875130608928066,60.489627838134766,2.3875130608928066,60.489627838134766,2.3875130608928066,60.489627838134766,2.3875130608928066,60.489627838134766,2315.302351453925,197.27586364746094,2.3875130608928066,60.489627838134766,2.3875130608928066,10332434.0,2.3875130608928066,10332434.0,2.3875130608928066,10332434.0,2315.302351453925,33697344.0,2.3875130608928066,209.21905517578125,2.3875130608928066,209.21905517578125,2.3875130608928066,209.21905517578125,2.3875130608928066,209.21905517578125,2.3875130608928066,209.21905517578125
ngc5236,SN1957D,unclassified,204.2647,-29.828,546.7621815937086,892.0135629822324,41.320827,0.6190958,5.3402543,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC5236_alphaCO21_Sun+20.fits,ngc5236_SN1957D_,4.534993900911394,24.640588760375977,4.534993900911394,24.640588760375977,4.534993900911394,24.640588760375977,2282.886895763167,58.58537292480469,2976.546200204655,189.36669921875,4.534993900911394,24.640588760375977,4.534993900911394,4208940.5,4.534993900911394,4208940.5,2282.886895763167,10007161.0,2976.546200204655,32346354.0,4.534993900911394,101.86104583740234,4.534993900911394,101.86104583740234,4.534993900911394,101.86104583740234,4.534993900911394,101.86104583740234,4.534993900911394,101.86104583740234
ngc4321,SN1959E,I,185.7454,15.817,126.93916867260555,215.7177371879258,18.02512,1.2416003,7.186052,0.000462934650464,185.72887,15.822304,15.21,156.2,38.5,182.86105,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4321_alphaCO21_Sun+20.fits,ngc4321_SN1959E_,10.65649565432733,17.461816787719727,10.65649565432733,17.461816787719727,28.15113692543749,20.284095764160156,4206.0084983323395,59.956966400146484,4594.245515787172,196.92910766601562,10.65649565432733,17.461816787719727,10.65649565432733,2522682.413249847,64.28768855373218,3164704.133778134,4284.451276369186,10038049.90804573,5010.712186659699,32456688.362157315,10.65649565432733,17.701244354248047,10.65649565432733,17.701244354248047,10.65649565432733,17.701244354248047,10.65649565432733,17.701244354248047,10.65649565432733,17.701244354248047
ngc4496a,SN1960F,Ia,187.9252,3.9466,66.42165125156563,353.7510142763567,0.02642009,0.8255818,nan,0.0003482539090036,187.91354,3.939608,14.86,51.1,53.8,101.18619,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4496a/ngc4496a_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4496a/ngc4496a_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4496A_alphaCO21_Sun+20.fits,ngc4496a_SN1960F_,108.2132339328936,2.2644426822662354,152.3187192846035,5.989070892333984,nan,nan,nan,nan,nan,nan,108.2132339328936,2.2644426822662354,152.3187192846035,1281669.1037178591,229.6460558022496,3272247.06144887,nan,nan,nan,nan,139.03629885616638,7.704400539398193,152.3187192846035,10.52977466583252,61.258354206724256,1.1180511713027954,108.2132339328936,3.9715607166290283,121.69763142678433,5.926366806030273
