Galaxy,ModelNum,n55Mod1,n65Mod1,n55Mod2,n65Mod2,n55Mod3,n65Mod3,n55Mod4,n65Mod4
circinus,0,363.4535837050279,1496.2608747519776,0.0,0.0,240.29536173505068,497.68117202636125,2252.7851481755047,4978.728572588802
circinus,1,322.8370454887444,2674.3671343506808,79.18839573865043,2162.961703905506,0.0,96.98112762783775,3745.1413416243468,6670.79365276
circinus,2,194.23874223319032,2900.8708898820973,60.07705922517524,2303.618837330986,0.0,0.0,2124.575231145063,5237.975238900487
circinus,3,242.72503732626083,2947.6926583146196,0.0,194.78342325364684,0.0,1305.5028758422382,191.99622128826948,531.913408251346
circinus,4,242.5302979021523,2045.7732953743534,0.0,0.0,0.0,0.0,0.0,0.0
circinus,5,242.51411740957198,1259.3838256930305,0.0,0.0,0.0,407.39902153671244,498.23715789925853,2063.6811468969518
circinus,6,254.6316249796661,3053.8304821909082,0.0,0.0,0.0,0.0,0.0,1139.1254367129882
circinus,7,60.02649615219621,1588.9748421644879,0.0,0.0,0.0,0.0,0.0,0.0
circinus,8,723.6381054698014,3212.2889833613467,0.0,0.0,0.0,0.0,661.6600865652053,2773.2909859474316
circinus,9,0.0,1416.934316624824,0.0,0.0,192.00318745819754,589.7413502212908,0.0,600.5931943395868
circinus,10,0.0,704.6576821505556,120.11274912203032,1670.4479234196851,0.0,0.0,0.0,864.6691812111715
circinus,11,0.0,1199.19935203505,0.0,0.0,0.0,1692.624360822622,6313.522772295312,9215.315022488721
circinus,12,0.0,2680.632962313091,0.0,0.0,0.0,0.0,60.02105665294611,1075.0317716081297
circinus,13,1879.239247456908,3516.750914985588,178.42684922394497,1910.2027838957747,0.0,0.0,0.0,0.0
circinus,14,0.0,1631.484676930096,0.0,0.0,1027.4085251356678,2869.242042471586,0.0,1163.4064428995518
circinus,15,1028.8172515514152,3825.0021597233304,0.0,0.0,0.0,1189.2100263429704,0.0,64.9814526808377
circinus,16,0.0,363.1790443361135,0.0,0.0,0.0,0.0,180.22679518398945,1409.853135717595
circinus,17,0.0,1995.39988492835,0.0,0.0,0.0,749.1184180849295,0.0,1100.1183114254359
circinus,18,908.1240615736382,3995.2110451644644,0.0,1132.5203318446422,60.02806528123518,1138.8708141270704,1131.7853103351356,3045.3241605269686
circinus,19,1043.003625319863,3498.1181069356962,0.0,261.48177009486415,316.15880401826865,2371.5495673382707,0.0,1500.0124623005752
circinus,20,0.0,2660.045063299064,0.0,446.3761801703108,60.15890837849611,236.33779606141547,0.0,951.9034649787764
circinus,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
circinus,22,443.2276529277874,2126.2196374700343,129.93612206321782,1197.5175920070442,0.0,0.0,0.0,0.0
circinus,23,236.95470785269626,2924.367650769092,0.0,0.0,1666.039983195686,3544.6502787818486,0.0,284.6604361291845
circinus,24,60.137185209772184,3162.6195300744944,0.0,0.0,60.23025543896894,2186.0693492074884,0.0,0.0
circinus,25,581.5197990577441,3387.1607123816884,0.0,0.0,905.1408770722572,3579.0292676067047,1875.2550905881842,4928.194027916875
circinus,26,765.7252758275212,3441.8794039355344,192.10745205681832,2051.1192123750575,65.03034133855277,2181.260763433561,0.0,1559.12416101505
circinus,27,646.8389540210351,4003.532233982487,0.0,812.6821219509181,570.0737620715164,2706.796170166789,120.1327196354082,1070.3604342422134
circinus,28,0.0,554.0278581242937,0.0,0.0,0.0,498.075207933813,0.0,0.0
circinus,29,97.0980437520949,2140.0064318926106,0.0,0.0,0.0,0.0,235.481925005118,2686.8156165627192
circinus,30,319.87826215616576,2039.3860833007284,0.0,0.0,248.92509948169572,2745.810673726941,3625.9021760737437,6217.127680149602
circinus,31,0.0,79.09355067770103,0.0,0.0,0.0,430.5877362400359,0.0,60.07753768762024
circinus,32,236.27582630078726,1291.170635299453,0.0,0.0,194.16740919097055,2223.6870702798433,0.0,320.0920869630097
circinus,33,646.1597136912249,3411.424680886588,0.0,382.3603482945406,60.06614831239595,435.2509720914906,203.56778758491743,822.4953460606606
circinus,34,0.0,0.0,0.0,97.01910967563818,0.0,0.0,2775.9794489161554,5649.994499901676
circinus,35,124.52821062500328,2799.4361460664945,0.0,1920.5707983094235,0.0,0.0,531.4495742582615,2070.1783710083564
circinus,36,1189.4186317139904,4459.828233024166,0.0,0.0,0.0,1038.9350431756243,0.0,0.0
circinus,37,0.0,0.0,0.0,0.0,60.063894338024944,522.6559440607763,956.5810751900756,3404.1218909234244
circinus,38,822.2514944800716,2052.4681934331547,0.0,0.0,199.77212980676708,658.3329408816617,0.0,131.70827767613514
circinus,39,60.156353751393794,747.8762734123803,0.0,0.0,158.19663557473302,1261.4688884306136,407.4542014142999,1482.5411134501758
circinus,40,322.9529235384319,2058.7234272679843,0.0,0.0,0.0,0.0,0.0,0.0
circinus,41,337.83812785419457,3810.9539377374613,0.0,316.32245608441855,0.0,0.0,1387.9426812096876,4700.2999886002535
circinus,42,555.0212240405244,1697.6022955668054,0.0,0.0,0.0,129.89367905301145,0.0,2095.920820009315
circinus,43,930.0287811088847,3541.7955044672553,0.0,0.0,60.087764625859585,509.21563969007207,0.0,0.0
circinus,44,147.7663959090998,2127.985231439627,60.09210519550608,491.8763959854622,0.0,993.583494853302,0.0,0.0
circinus,45,0.0,1444.3443048747718,0.0,0.0,0.0,0.0,120.07155168155614,1438.8424406196195
circinus,46,0.0,704.6492705878112,0.0,0.0,0.0,254.60232243597875,0.0,387.931734465199
circinus,47,0.0,1053.1214770305878,0.0,0.0,0.0,147.74146642976868,191.98627579099025,2231.535895542538
